FILTER,WAVELENGTH,APER#0.04,APER#0.08,APER#0.12,APER#0.16,APER#0.20,APER#0.24,APER#0.28,APER#0.32,APER#0.36,APER#0.40,APER#0.44,APER#0.48,APER#0.51,APER#0.55,APER#0.59,APER#0.63,APER#0.67,APER#0.71,APER#0.75,APER#0.79,APER#0.83,APER#0.87,APER#0.91,APER#0.95,APER#0.99,APER#1.03,APER#1.07,APER#1.11,APER#1.15,APER#1.19,APER#1.23,APER#1.27,APER#1.31,APER#1.35,APER#1.39,APER#1.43,APER#1.47,APER#1.50,APER#1.54,APER#1.58,APER#1.62,APER#1.66,APER#1.70,APER#1.74,APER#1.78,APER#1.82,APER#1.86,APER#1.90,APER#1.94,APER#1.98,APER#6.0
FFFFF,2000.0000000000000,0.5713,0.6311,0.6845,0.7255,0.752,0.7757,0.7946,0.8086,0.8201,0.8312,0.8435,0.8558,0.8636,0.873,0.8817,0.8913,0.902,0.9129,0.9237,0.9337,0.9424,0.9499,0.9561,0.9614,0.966,0.9699,0.9733,0.9763,0.9788,0.981,0.9828,0.9843,0.9855,0.9865,0.9873,0.988,0.9886,0.989,0.9895,0.99,0.9904,0.9909,0.9913,0.9917,0.9921,0.9924,0.9928,0.9931,0.9935,0.9938,1.0
F218W,2223.7242894298383,0.5872,0.647,0.7001,0.7405,0.766,0.7886,0.8063,0.8194,0.8305,0.841,0.8521,0.863,0.8699,0.8784,0.8863,0.8949,0.9044,0.914,0.9235,0.9324,0.9401,0.9468,0.9525,0.9575,0.9618,0.9656,0.9691,0.9722,0.9749,0.9773,0.9794,0.9813,0.9828,0.9842,0.9854,0.9865,0.9874,0.988,0.9887,0.9894,0.99,0.9906,0.9911,0.9915,0.9919,0.9922,0.9926,0.9929,0.9932,0.9934,1.0
F225W,2358.3902256101073,0.6031,0.6628,0.7157,0.7555,0.78,0.8015,0.818,0.8303,0.8409,0.8508,0.8607,0.8702,0.8762,0.8838,0.8909,0.8986,0.9069,0.9152,0.9234,0.931,0.9378,0.9438,0.9489,0.9535,0.9576,0.9614,0.9648,0.968,0.9709,0.9736,0.976,0.9782,0.9802,0.9819,0.9835,0.9849,0.9862,0.987,0.988,0.9889,0.9896,0.9903,0.9909,0.9913,0.9917,0.9921,0.9924,0.9926,0.9929,0.9931,1.0
F275W,2703.297606591226,0.0639,0.295,0.5681,0.7241,0.79,0.8217,0.8389,0.8499,0.8583,0.8656,0.8722,0.8783,0.8826,0.8884,0.8946,0.9008,0.9065,0.912,0.9173,0.9225,0.9275,0.9324,0.9371,0.9417,0.9459,0.95,0.9536,0.9569,0.9599,0.9626,0.9649,0.967,0.9689,0.9705,0.972,0.9733,0.9745,0.9753,0.9764,0.9773,0.9782,0.979,0.9798,0.9805,0.9812,0.9818,0.9824,0.983,0.9835,0.984,1.0
F300X,2805.8406941029884,0.24029,0.54924,0.70461,0.77454,0.81001,0.83034,0.84388,0.85413,0.86251,0.86973,0.87606,0.88211,0.88814,0.89416,0.90025,0.90629,0.91201,0.91738,0.92268,0.92789,0.93306,0.93813,0.94289,0.94718,0.95122,0.95509,0.9588,0.9621,0.96487,0.96745,0.9698,0.97187,0.97376,0.97563,0.97718,0.97982,0.98259,0.98505,0.98564,0.98622,0.98681,0.9874,0.98799,0.98858,0.98916,0.98975,0.99034,0.99093,0.99152,0.9921,1.0
F280N,2829.9788818500247,0.27019,0.5746,0.71539,0.78092,0.81427,0.8329,0.84566,0.85563,0.86369,0.87069,0.87688,0.8818,0.88687,0.89218,0.89723,0.90212,0.90763,0.91256,0.91684,0.92161,0.92704,0.9322,0.93738,0.94274,0.94732,0.95172,0.95569,0.95976,0.96335,0.96678,0.96984,0.97276,0.97453,0.97543,0.9767,0.97964,0.98244,0.98493,0.98552,0.98612,0.98671,0.9873,0.9879,0.98849,0.98908,0.98968,0.99027,0.99087,0.99146,0.99205,1.0
F336W,3354.6557118136925,0.28165,0.61048,0.75425,0.8107,0.83977,0.85813,0.8717,0.88155,0.88869,0.8944,0.89933,0.90364,0.90736,0.91051,0.91344,0.91667,0.92039,0.92426,0.92806,0.93173,0.9351,0.93816,0.94105,0.94392,0.94682,0.94982,0.95291,0.95594,0.95885,0.9616,0.96416,0.96661,0.96888,0.97096,0.97289,0.97518,0.97782,0.98022,0.98107,0.98193,0.98279,0.98365,0.98451,0.98537,0.98623,0.98709,0.98795,0.98881,0.98966,0.99052,1.0
F343N,3435.193249408308,0.2614,0.58851,0.74156,0.80762,0.84052,0.85846,0.87074,0.88041,0.88791,0.89382,0.89895,0.90362,0.90772,0.91105,0.9137,0.91652,0.91982,0.92343,0.92698,0.93056,0.93421,0.93766,0.94064,0.9433,0.94584,0.94839,0.9512,0.9542,0.95726,0.95996,0.96256,0.96524,0.96769,0.97002,0.97218,0.97445,0.97701,0.97934,0.98025,0.98116,0.98207,0.98298,0.98389,0.9848,0.98571,0.98662,0.98753,0.98844,0.98935,0.99026,1.0
F373N,3730.16572238901,0.2614,0.58597,0.73765,0.80481,0.83944,0.85767,0.87036,0.87961,0.88752,0.8979,0.89855,0.90295,0.90737,0.9108,0.91402,0.91645,0.91859,0.9215,0.92549,0.92959,0.93293,0.93574,0.93884,0.94288,0.94524,0.94698,0.94909,0.95173,0.95366,0.95589,0.95951,0.96248,0.96548,0.96707,0.96941,0.97177,0.97403,0.97612,0.97722,0.97832,0.97941,0.98051,0.98161,0.9827,0.9838,0.9849,0.98599,0.98709,0.98819,0.98928,1.0
F390M,3897.0051937196204,0.27021,0.59313,0.74257,0.80716,0.84372,0.8633,0.87515,0.88426,0.89214,0.89883,0.90374,0.90815,0.91234,0.91619,0.91934,0.92204,0.92457,0.92692,0.9296,0.93256,0.9353,0.93783,0.94039,0.94342,0.94598,0.94804,0.95009,0.95214,0.95411,0.95628,0.95865,0.96144,0.96426,0.96672,0.96887,0.97025,0.97234,0.9743,0.9755,0.97671,0.97791,0.97911,0.98031,0.98152,0.98272,0.98392,0.98512,0.98633,0.98753,0.98873,1.0
